pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege,puma_shnoncollege,puma_shpov_col,puma_shpov_noncol,puma_hhinc_col,puma_hhinc_noncol,puma_shmarr_noncol,puma_shcoh_noncol,puma_shunpmom_noncol,puma_shmarr_col,puma_shcoh_col,puma_shunpmom_col,puma_shpov_marr_col,puma_shpov_cohab_col,puma_shpov_unpmom_col,puma_shpov_marr_noncol,puma_shpov_cohab_noncol,puma_shpov_unpmom_noncol,puma_hhinc_marr_col,puma_hhinc_cohab_col,puma_hhinc_unpmom_col,puma_hhinc_marr_noncol,puma_hhinc_cohab_noncol,puma_hhinc_unpmom_noncol
Hidalgo County (Central)--McAllen City,4806805,4806702,Hidalgo County (Central)--McAllen City,4806805,2010,west south central div,215,6702,06702,27.660572,72.339432,.82179242,36.301746,101200,28500,56.833809,.22788092,42.938309,93.627548,2.7562339,3.616221,.55232453,0,8.424942,18.838459,7.6233177,59.568626,110500,40000,45000,40000,40800,15500
Hidalgo County (Southwest)--Mission City,4806806,4806704,Hidalgo County (Southwest)--Mission City,4806806,2010,west south central div,215,6704,06704,17.100229,82.899773,12.193378,28.934479,70000,28100,69.592102,1.8240318,28.583866,83.979095,.67629713,15.344608,9.1366863,0,29.459677,23.466993,7.6233187,43.605896,72000,93800,45500,31000,40800,21000
Hidalgo County (North & West),4806807,4806702,Hidalgo County (North & West),4806807,2010,west south central div,215,6702,06702,11.97479,88.025208,12.566008,38.01244,76900,24600,64.310005,1.8042852,33.885715,82.059837,3.025764,14.914402,5.1311903,0,56.022102,26.194954,49.823021,59.81139,78000,89000,12000,31800,23600,14000
Rio Grande COG & Permian Basin Regional Planning Commission (West),4803200,4803400,Rio Grande COG & Permian Basin Regional Planning Commission (West),4807200,2010,west south central div,0,3400,03400,11.989442,88.010559,.69595605,20.991899,81000,40000,60.063328,13.572344,26.36433,93.418259,0,6.5817432,0,,10.574039,9.3332891,47.220802,34.049969,78000,,116400,52000,24000,18840
Rio Grande COG & Permian Basin Regional Planning Commission (West),4803200,4803400,Rio Grande COG & Permian Basin Regional Planning Commission (West),4807300,2010,west south central div,0,3400,03400,11.526936,88.473068,5.1390572,15.734541,88600,40000,61.669945,11.851122,26.478928,94.860939,0,5.1390572,0,,100,6.0033212,29.079428,32.425999,87300,,322000,52000,37500,18000
Brazos Valley COG--Brazos County--College Station & Bryan Cities,4803602,4804000,Brazos Valley COG--Brazos County--College Station & Bryan Cities,4807401,2010,west south central div,41,4000,04000,31.270439,68.729561,3.6556911,30.992451,95000,30000,50.491505,15.319283,34.189209,86.189613,7.3545933,6.4557948,4.2414522,0,0,15.497236,21.380903,58.182865,95000,120000,32800,46300,35000,14600
Brazos Valley COG--Brazos County--College Station & Bryan Cities,4803602,4804000,Brazos Valley COG--Brazos County--College Station & Bryan Cities,4807402,2010,west south central div,41,4000,04000,31.270439,68.729561,3.6556911,30.992451,95000,30000,50.491505,15.319283,34.189209,86.189613,7.3545933,6.4557948,4.2414522,0,0,15.497236,21.380905,58.182865,95000,120000,32800,46300,35000,14600
Middle Rio Grande Development Council,4806200,4805900,Middle Rio Grande Development Council,4807500,2010,west south central div,0,5900,05900,10.508682,89.491318,20.357605,24.213909,26000,30000,55.933319,2.7067366,41.359947,82.227486,3.4898751,14.282637,24.757662,0,0,10.261861,10.186915,44,25300,73000,48900,44340,50000,18200
South Texas Development Council (South) & Coastal Bend COG (West),4806400,4806500,South Texas Development Council (South) & Coastal Bend COG (West),4807600,2010,west south central div,0,6500,06500,15.145477,84.854523,2.6241336,23.210026,82000,30000,50.680359,8.8022861,40.517353,77.029694,6.2165089,16.753798,3.406652,0,0,12.995858,21.456274,36.367218,86000,45000,58900,40000,35730,17600
South Texas Development Council (South) & Coastal Bend COG (West),4806400,4806500,South Texas Development Council (South) & Coastal Bend COG (West),4807700,2010,west south central div,0,6500,06500,14.827699,85.172302,1.1451341,20.629992,82000,32900,49.855114,11.126422,39.018463,77.911308,5.7548051,16.333883,1.469792,0,0,11.534638,18.878126,32.750969,85000,45000,58900,42400,34300,20770
