pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_hhinc_white_noncol,puma_hhinc_hispanic_noncol,puma_hhinc_black_noncol,puma_hhinc_asian_noncol,puma_hhinc_other_noncol,puma_hhinc_white_col,puma_hhinc_hispanic_col,puma_hhinc_black_col,puma_hhinc_asian_col,puma_hhinc_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom,puma_hhinc_white_noncol_marr,puma_hhinc_white_noncol_coh,puma_hhinc_white_noncol_unpmom,puma_hhinc_hisp_noncol_marr,puma_hhinc_hisp_noncol_coh,puma_hhinc_hisp_noncol_unpmom,puma_hhinc_black_noncol_marr,puma_hhinc_black_noncol_coh,puma_hhinc_black_noncol_unpmom,puma_hhinc_asian_noncol_marr,puma_hhinc_asian_noncol_coh,puma_hhinc_asian_noncol_unpmom,puma_hhinc_other_noncol_marr,puma_hhinc_other_noncol_coh,puma_hhinc_other_noncol_unpmom,puma_hhinc_white_col_marr,puma_hhinc_white_col_coh,puma_hhinc_white_col_unpmom,puma_hhinc_hisp_col_marr,puma_hhinc_hisp_col_coh,puma_hhinc_hisp_col_unpmom,puma_hhinc_black_col_marr,puma_hhinc_black_col_coh,puma_hhinc_black_col_unpmom,puma_hhinc_asian_col_marr,puma_hhinc_asian_col_coh,puma_hhinc_asian_col_unpmom,puma_hhinc_other_col_marr,puma_hhinc_other_col_coh,puma_hhinc_other_col_unpmom
Ventura County (South Central)--Camarillo & Moorpark Cities,0611106,0606602,Ventura County (South Central)--Camarillo & Moorpark Cities,0611109,2010,pacific division,111,6602,06602,48.612095,17.741573,11.032358,72.156677,2.6581528,51.387905,82.258423,88.967644,27.843323,97.34185,74.968552,4.5283022,20.503143,68.776077,8.344924,22.878998,51.282055,5.1282053,43.589745,78.44828,2.5862069,18.965517,61.538464,19.23077,19.23077,88.833992,1.1857708,9.980238,84.536079,1.0309278,14.432989,,,,91.304352,3.6789298,5.0167227,,,,12.624709,45.788029,20.224443,6.2437758,3.7417586,3.7090037,12.269699,0,.083649509,,88000,46000,84230,137000,192000,128700,124000,74000,185000,,13.742411,85.11235,2.2481301,39.344765,48.064934,67.625481,34.050251,,7.3910513,3.2040224,,15.254244,0,5.5850577,,2.9771128,0,12.817351,12.327014,,8.3621616,,,,.08406768,,.018725982,,,,90000,35500,70020,59000,46000,14600,88000,,84230,137000,,209700,192000,205000,,138000,84200,78400,124000,,124000,,,,185000,,107000,,,
"Yolo County--Davis, Woodland & West Sacramento Cities",0611300,0600900,"Yolo County--Davis, Woodland & West Sacramento Cities",0611301,2010,pacific division,113,900,00900,56.544418,4.8322301,51.451187,61.085648,83.259911,43.455582,95.16777,48.548813,38.914352,16.740089,66.666672,5.1282053,28.20513,75.625,8.75,15.625,100,0,0,70.588234,5.8823528,23.529411,66.666672,0,33.333336,91,0,9,92.85714,0,7.1428576,100,0,0,96.153847,0,3.846154,100,0,0,12.44061,38.450562,0,12.771234,0,1.8256942,15.456675,0,0,0,52000,36000,70600,42200,75000,121600,92400,69700,97100,180000,8.2584267,0,23.277311,33.735401,30.803976,65.327209,0,,,11.649726,,0,0,,,0,,22.700119,16.438356,,,0,,,0,,0,0,,,82000,29900,40000,36000,56200,16000,70600,,,55114,,35800,75000,,,121600,,27000,92400,,,69700,,,97100,,40000,180000,,
"Yolo County--Davis, Woodland & West Sacramento Cities",0611300,0600900,"Yolo County--Davis, Woodland & West Sacramento Cities",0611302,2010,pacific division,113,900,00900,56.544418,4.8322301,51.451187,61.085648,83.259911,43.455582,95.16777,48.548813,38.914352,16.740089,66.666672,5.1282053,28.20513,75.625,8.75,15.625,100,0,0,70.588234,5.8823528,23.529411,66.666672,0,33.333336,91,0,9,92.85714,0,7.1428576,100,0,0,96.153847,0,3.846154,100,0,0,12.44061,38.450562,0,12.771234,0,1.8256942,15.456674,0,0,0,52000,36000,70600,42200,75000,121600,92400,69700,97100,180000,8.2584267,0,23.277311,33.735401,30.803976,65.327209,0,,,11.649726,,0,0,,,0,,22.700119,16.438356,,,0,,,0,,0,0,,,82000,29900,40000,36000,56200,16000,70600,,,55114,,35800,75000,,,121600,,27000,92400,,,69700,,,97100,,40000,180000,,
"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",0800200,0800101,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",0800100,2010,mountain division,0,101,00101,30.615923,7.5505352,,,0,69.384079,92.449463,,,100,82.089546,5.2238808,12.686567,83.720932,4.6511626,11.627908,,,,,,,100,0,0,81.967209,0,18.032785,60.000004,0,40,,,,,,,,,,10.502486,8.5209007,,,0,7.3170738,0,,,,70000,57700,,,71200,80000,94800,,,,8.2170391,61.217945,0,9.9455814,0,0,,,,,,,0,,,3.356529,,25.590181,0,,0,,,,,,,,,,65410,13700,181100,65000,57700,23800,,,,,,,71200,,,91000,,40000,94800,,58200,,,,,,,,,
"Eagle, Summit, Grand & Jackson Counties",0800400,0800101,"Eagle, Summit, Grand & Jackson Counties",0800200,2010,mountain division,0,101,00101,47.850986,13.380952,0,0,,52.149014,86.619049,100,100,,80.788177,6.8965516,12.315271,75.675674,9.4594593,14.864865,100,0,0,100,0,0,,,,87.421379,2.5157232,10.062893,66.666672,0,33.333336,,,,,,,,,,1.8995477,14.682733,0,0,,2.7507002,0,,,,79000,35500,69000,71000,,98000,62000,,,,1.146035,1.0864413,7.8984685,11.080917,54.797756,5.6493611,0,,,0,,,,,,.029306754,0,57.809483,0,,0,,,,,,,,,,93000,143100,28800,41000,18000,24000,69000,,,71000,,,,,,98000,48600,3400,90000,,27000,,,,,,,,,
Larimer County (North)--Fort Collins City,0800103,0800101,Larimer County (North)--Fort Collins City,0800301,2010,mountain division,0,101,00101,48.977127,16.849472,67.073174,29.844688,43.696709,51.022873,83.150528,32.926826,70.155312,56.303291,76.205788,7.0739551,16.720257,78.78788,6.060606,15.151516,0,0,100,84.615387,0,15.384616,50,20,30.000002,88.65979,.68728524,10.652921,63.636364,0,36.363636,100,0,0,85.714287,0,14.285715,100,0,0,8.031909,10.241885,100,0,10.362814,6.6909814,0,0,11.750529,0,61000,56500,2150,35000,20000,90000,105000,70200,86000,113500,2.9841156,2.172492,28.318617,9.4016829,0,16.987659,,,100,0,,,0,,0,5.8614244,0,14.938495,0,,0,0,,,13.672735,,,0,,,75000,34000,30004,62000,30000,36000,,,2150,40000,,,20000,,17700,91300,68400,34500,127000,,105000,70200,,,86000,,,113500,,
Larimer County (North)--Fort Collins City,0800103,0800102,Larimer County (North)--Fort Collins City,0800302,2010,mountain division,0,102,00102,49.359974,14.609954,67.073174,23.688341,50.541901,50.640026,85.390045,32.926826,76.311661,49.458099,76.205788,7.0739551,16.720257,78.78788,6.060606,15.151516,0,0,100,84.615387,0,15.384616,50,20,30.000002,88.65979,.68728524,10.652921,63.636364,0,36.363636,100,0,0,85.714287,0,14.285715,100,0,0,7.2589731,6.9782615,100,0,7.7551203,8.7311001,0,0,7.6331081,0,61000,62000,2150,35000,20000,88200,105000,70200,126000,113500,1.8985993,1.5297949,24.913023,5.9717226,0,13.440641,,,100,0,,,0,,0,7.9115367,0,17.580284,0,,0,0,,,8.4002581,,,0,,,70800,45000,30004,62000,30000,36000,,,2150,40000,,,20000,,17700,90000,68400,34500,127000,,105000,70200,,,126000,,,113500,,
Larimer County (North)--Fort Collins City,0800103,0800102,Larimer County (North)--Fort Collins City,0800303,2010,mountain division,0,102,00102,48.121418,20.339853,,59.753502,30.95949,51.878582,79.660149,,40.246498,69.040512,76.205788,7.0739551,16.720257,78.78788,6.060606,15.151516,,,,84.615387,0,15.384616,50,20,30.000002,88.65979,.68728524,10.652921,63.636364,0,36.363636,,,,85.714287,0,14.285715,100,0,0,9.7182837,15.694244,,0,13.838805,2.0136614,0,,19.680517,0,61200,36000,,35000,17700,91300,105000,,86000,113500,5.174571,3.0872161,41.40258,16.363638,0,21.158699,,,,,,0,0,100,0,.95926821,0,10.24868,0,,0,,,,25.741758,,0,0,,,75000,34000,31200,65000,30000,36000,,,,,,35000,65000,22500,17700,95010,68400,42100,127000,,105000,,,,86000,,15700,113500,,
Boulder County (Central)--Boulder City,0800803,0800804,Boulder County (Central)--Boulder City,0800401,2010,mountain division,0,804,00804,50.99963,59.858669,15.451355,43.433216,90.899071,49.00037,40.141331,84.548645,56.566784,9.1009293,77.537216,4.3301759,18.132612,67.647057,5.8823528,26.470589,,,,82.758621,0,17.241379,,,,90.388176,1.1090573,8.5027723,94.871796,0,5.1282053,,,,94,0,6,77.272728,0,22.727274,4.450613,19.737379,17.858973,0,10.160705,2.7873726,0,,0,0,90000,65000,142900,23200,52000,127000,113000,,140500,179540,3.1749744,1.8049667,18.403429,5.1803417,,57.825184,,,,0,,,0,,,.70334315,52.781784,18.917673,0,,0,,,,0,,,0,,,100500,45000,65000,65000,,15600,,,,23200,,,52000,,,140100,30000,80810,113000,,60400,,,,140500,,,179540,,
Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0800802,0800802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0800501,2010,mountain division,0,802,00802,52.161915,9.111743,30.357143,91.346703,41.875668,47.838085,90.88826,69.642853,8.6532974,58.124332,73.489937,8.3892622,18.120806,74.111679,8.1218271,17.766499,66.666672,33.333336,0,,,,30.769232,0,69.230774,95.439735,.65146577,3.9087946,72.727272,0,27.272728,100,0,0,90,0,10,66.666672,0,33.333336,8.4405689,33.744675,26.23274,0,9.9359322,2.2752459,12.15061,0,0,0,72000,32800,10500,73700,42000,121300,29500,135000,118280,143000,7.3159976,1.7236162,14.329243,36.902134,57.931381,13.448869,0,100,,0,,,,,11.863214,2.2179818,,4.1584091,18.203899,,3.6647637,0,,,0,,,0,,0,87000,37200,28400,33000,42400,24000,10500,15200,,73700,,,,,40200,124000,,48920,70000,,29500,135000,,,118280,,,109200,,143000
"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties",0800801,0800801,"DRCOG Mountains--Jefferson (West), Boulder (West), Clear Creek & Gilpin Counties",0800502,2010,mountain division,0,801,00801,78.590492,15.711376,.027369572,81.16996,1.1890899,21.409508,84.28862,99.972633,18.83004,98.810913,74.473358,5.8240395,19.702602,68.389061,8.8145895,22.796352,54.545456,9.090909,36.363636,93.75,0,6.25,59.375,0,40.625,90.210358,1.2944984,8.4951448,86.813187,0,13.186814,,,,90.540543,0,9.4594593,,,,30.927416,7.6191211,99.917206,0,81.529663,10.845281,0,,0,,64000,33000,260,102020,670,114000,180000,,141700,,3.3078783,96.784286,45.637875,.017368615,.044155937,20.69342,,,100,0,,,0,,99.985992,6.5146208,.64921767,50.422001,0,,,,,,0,,,,,,136100,29000,24900,33900,46700,30000,,,260,102020,,,84200,,670,126000,82000,19000,180000,,,,,,141700,,,,,
Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0800802,0800802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0800601,2010,mountain division,0,802,00802,63.028896,23.801746,33.630951,70.308472,11.539414,36.971104,76.198257,66.369049,29.691528,88.460587,75.698318,7.2625694,17.039106,68.77256,7.400722,23.826715,77.777779,22.222223,0,88.888893,0,11.111112,52.63158,0,47.368423,91.566261,1.7608898,6.6728449,78.494629,0,21.505377,,,,90.909096,0,9.090909,,,,19.674194,14.231337,26.222435,.611655,.0032245801,5.3388834,.0025735009,0,0,.037274595,69500,46700,10500,68000,84200,98700,110000,135000,144800,143000,10.993489,.039538123,41.104706,18.006321,6.7359047,17.573647,0,,,.6474824,,,0,,.039240532,1.690848,.00010179981,28.692383,.0024671354,,.0036775444,0,,,0,,0,0,,.063154355,100040,65000,30000,52000,46700,24000,10500,,,68000,,,84200,,67000,110000,82000,75000,110000,,34000,135000,,,144800,,74100,109200,,143000
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties",0800804,0800300,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties",0800701,2010,mountain division,123,300,00300,46.168839,16.55427,.62210578,72.554382,91.466866,53.831161,83.445732,99.377892,27.445618,8.5331345,75.581398,6.6860466,17.732557,69.966995,7.5907588,22.442244,83.333328,16.666668,0,90.909096,0,9.090909,,,,90.260628,2.0576131,7.6817555,80.327866,0,19.672131,,,,89.743591,0,10.256411,75,0,25,10.503327,22.284157,.37673312,0,,10.24306,0,,0,83.696098,74000,37900,89780,134000,,92200,73000,,48000,14000,1.2054604,48.812492,31.694162,20.663975,6.3441076,46.3592,0,,,0,,,,,,10.37407,.37506655,21.297424,0,,0,,,,0,,,,,99.101746,78000,42000,38000,37900,46700,21450,89780,,,134000,,,,,,98000,45600,42000,73000,,43000,,,,48000,,,,,14000
"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities",0800818,0800801,"Jefferson County (East Central)--Lakewood (North), Wheat Ridge & Golden Cities",0800702,2010,mountain division,0,801,00801,44.775509,12.475383,0,69.39151,20.592417,55.224491,87.52462,100,30.60849,79.407585,76.397514,4.9689441,18.633539,59.090908,2.2727273,38.636364,0,0,100,75,0,25,80,0,20,90.506325,1.2658228,8.2278481,93.333336,0,6.666667,,,,100,0,0,100,0,0,18.313169,52.354057,0,0,0,.76363605,0,,0,0,58000,18000,14100,55400,62000,130000,111900,,78000,179540,3.5015237,0,54.486031,25.77314,100,73.101494,,,0,0,,0,0,,0,.13797991,,6.2004194,0,,,,,,0,,,0,,,88830,45000,10000,25000,21500,8000,,,14100,23200,,55400,62000,,78000,141000,,96000,113000,,,,,,78000,,,179540,,
Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge,0800819,0800819,Jefferson County (East Central)--Lakewood City (South) & Dakota Ridge,0800703,2010,mountain division,0,819,00819,43.994991,19.513163,,28.965664,99.746582,56.005009,80.486839,,71.034332,.25341797,64.255318,14.042553,21.702127,49.130432,11.304348,39.565216,,,,90.476189,0,9.5238094,,,,90.128754,3.4334764,6.437768,79.310349,6.8965516,13.793103,,,,87.5,12.5,0,100,0,0,7.5907412,10.93444,,0,,2.5901306,.000018707078,,0,0,75400,50000,,31600,,106000,75050,,185000,71000,.81686872,.012523368,41.160877,.18772219,.2059131,26.431244,,,,0,,,,,,2.9760997,0,.014367394,0,.00034345701,0,,,,0,0,,0,,,78000,48000,41500,68400,55000,24000,,,,31600,,,,,,121830,140000,60000,99000,28500,102900,,,,185000,135000,,71000,,
Douglas County (South)--Castle Rock Town,0800822,0800821,Douglas County (South)--Castle Rock Town,0800801,2010,mountain division,0,821,00821,65.441513,65.644249,19.668509,56.64315,2.2797537,34.558487,34.355751,80.33149,43.35685,97.720245,87.613289,1.8126888,10.574018,88.571426,5.7142859,5.7142859,100,0,0,88.888893,0,11.111112,80,0,20,92.941177,.14705883,6.9117651,95.652176,0,4.347826,100,0,0,100,0,0,,,,2.5939765,11.19972,0,.4621186,.81106079,1.1797175,0,0,0,,80500,132500,142900,87300,52000,128000,86000,260000,115000,,.087325871,87.846497,13.854474,0,0,100,0,,,0,,,0,,,.060868338,,12.982662,0,,0,0,,,0,,,,,,83000,15000,46000,145000,25500,109820,142900,,,87300,,,52000,,,135000,,53300,86000,,46000,260000,,,115000,,,,,
Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park,0800821,0800821,Douglas (West) & Jefferson (Southeast) Counties--Highlands Ranch & Chatfield Park,0800901,2010,mountain division,0,821,00821,61.1278,14.699976,18.938536,89.613548,55.231846,38.8722,85.300026,81.061462,10.386452,44.768154,82.193733,3.5612535,14.245014,76.076553,4.3062201,19.617226,88.888893,0,11.111112,80,0,20,71.428574,0,28.57143,93.408661,.37664783,6.2146893,92.85714,0,7.1428576,,,,100,0,0,100,0,0,4.3521399,2.7348511,4.5784807,58.892738,42.891415,2.2932832,0,,0,0,80800,106800,142900,7000,52000,117600,155200,,202000,80000,2.0844359,2.5561762,26.44622,.016042758,.19792108,87.133041,0,,,0,,100,0,,100,1.7292641,0,10.164246,0,,,,,,0,,,0,,,91500,34000,53000,155000,87000,16100,142900,,,87300,,7000,110000,,8000,122000,161004,82000,155200,,,,,,202000,,,80000,,
Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery,0800823,0800822,Douglas (Northeast) & Elbert (West) Counties--Parker Town & The Pinery,0800902,2010,mountain division,0,822,00822,57.887043,8.9917383,0,93.694939,59.74329,42.112957,91.008263,100,6.3050613,40.25671,77.35849,5.1212935,17.520216,69.784172,3.5971224,26.618704,0,0,100,,,,50,0,50,94.240837,.78534025,4.9738221,80,0,20,,,,100,0,0,100,0,0,5.5880713,5.6502738,100,,51.594204,2.4773827,0,,0,0,79000,87000,15300,,8000,114210,162500,,202000,80000,2.1524987,9.4855089,29.617859,.61700803,7.9898462,26.437702,,,100,,,,0,,100,1.9812279,0,10.05265,0,,,,,,0,,,0,,,85000,34000,40000,100000,87000,22290,,,15300,,,,110000,,8000,117000,161004,82000,162500,,,,,,202000,,,80000,,
Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0800802,0800802,Boulder (Northeast) & Weld (Southwest) Counties--Longmont City & Erie Town,0801001,2010,mountain division,0,802,00802,37.389511,10.132027,4.3492861,62.962948,16.078302,62.610489,89.867973,95.650711,37.037052,83.9217,74.94323,7.8728237,17.183952,73.711342,5.7989693,20.489691,,,,98.148148,0,1.8518518,38,2,60.000004,94.301994,1.614435,4.083571,69.230774,1.2820513,29.487181,,,,86.046509,4.6511626,9.3023252,,,,7.0258641,15.342686,92.229965,.025711328,18.910542,5.0170541,27.969578,,0,0,68250,35000,15300,73700,28700,92000,25000,,118280,84000,6.4626999,4.5044389,11.953513,10.123871,2.6887741,35.266495,,,99.907814,.02280842,,,0,,22.202837,4.6571231,0,15.617032,45.107708,,7.6715498,,,,0,,,0,,,72300,32600,44000,37000,42400,18000,,,15300,73700,,,65000,,19400,94100,31000,61000,85000,,22950,,,,118280,,,84000,,
"Weld County (South Central)--Greeley, Windsor & Evans Cities",0800300,0800300,"Weld County (South Central)--Greeley, Windsor & Evans Cities",0801002,2010,mountain division,123,300,00300,37.341518,10.671569,,59.493671,15.698925,62.658482,89.32843,,40.506329,84.301071,75.462959,8.7962961,15.74074,76.510063,5.3691278,18.120806,,,,100,0,0,30.000002,0,70,94.409935,1.242236,4.347826,68.75,0,31.25,,,,66.666672,0,33.333336,100,0,0,6.7360058,15.239138,,0,19.005102,5.1723046,28.477976,,0,0,69200,35000,,73700,28700,92000,25000,,118280,84000,6.7553587,3.3320994,9.2915211,10.027101,0,38.57288,,,,0,,,,,22.305389,4.806982,0,15.590551,46.197411,,7.7578053,,,,0,,,0,,,72300,32600,50000,36400,42400,18000,,,,73700,,,,,19400,94100,31000,61000,85000,,22950,,,,118280,,,84000,,
Northeast Colorado--Eastern Plains Region,0800100,0800300,Northeast Colorado--Eastern Plains Region,0801003,2010,mountain division,123,300,00300,49.937222,8.9647207,30.339367,54.102421,32.07695,50.062778,91.035278,69.660629,45.897579,67.92305,74.652336,7.5221243,17.825539,71.316963,6.6964283,21.986607,64.516129,6.4516125,29.032257,94.736847,0,5.2631578,45.901638,1.6393442,52.459015,92.785713,1.7142856,5.5,73.07692,.96153849,25.961538,94.736847,0,5.2631578,87.837837,2.7027028,9.4594593,72.727272,0,27.272728,7.2045383,27.902439,12.017159,16.987242,5.8757939,2.5704806,16.904922,0,0,0,72300,35000,45000,94000,99700,115000,29500,135000,100000,109200,5.6099625,1.8079692,15.71559,29.99802,48.990509,13.824944,0,100,16.216146,15.363608,,,0,,13.762197,2.2532499,0,9.9454079,19.739607,,4.3387084,0,,,0,,,0,,0,85200,37200,33700,35000,42400,24000,45000,15200,54000,94000,,,127000,,40200,117000,125000,48920,73000,,22950,135000,,,107800,,,90530,,143000
Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities,0800805,0800805,Adams (West) & Jefferson (Far Northeast) Counties--Westminster & Northglenn Cities,0801101,2010,mountain division,0,805,00805,31.453211,10.262873,39.81081,23.516384,10.115632,68.546791,89.737129,60.18919,76.483612,89.884369,76.033836,7.5187964,16.447369,65.043694,8.6142321,26.342073,36.53846,11.538462,51.923077,70.886078,2.5316455,26.582279,63.888889,8.333334,27.777779,90.286293,2.2494888,7.4642129,81,0,19,85.714287,0,14.285715,92.452827,0,7.5471697,,,,10.09212,23.350761,62.391651,6.2207742,.00010276405,2.6519818,0,0,0,4.1061563,61000,43000,7300,57200,90000,101000,60000,84000,151800,158700,8.1048641,5.7551837,27.893957,10.147407,46.188847,41.785603,.0016194509,99.99868,,11.700577,,.021803634,0,,,2.7789383,.0165406,2.8132463,0,,0,0,,,0,,,0,,,72500,54000,41280,60000,32000,24000,62000,7300,,85030,,57200,90000,,,99000,102050,108000,70000,,34000,84000,,,151800,,,158700,,
Denver City (Northeast),0800812,0800812,Denver City (Northeast),0801201,2010,mountain division,0,812,00812,23.851801,3.5125003,18.102728,.035003137,.46711168,76.148201,96.487503,81.89727,99.964996,99.53289,76.08696,8.695652,15.217391,67.837837,11.621621,20.540541,30.434782,10.869565,58.695648,57.692307,7.6923079,34.615387,70,20,10,91.712708,2.2099447,6.0773482,86.36364,0,13.636364,100,0,0,,,,,,,8.5279465,20.574089,99.089363,.027743297,.056831997,0,0,0,,,71860,41000,7300,86000,74700,67000,52300,163600,,,3.2372429,17.52565,32.830898,15.442512,53.489746,25.433523,,99.924347,,.070626035,,.015266152,0,,,0,,0,0,,,0,,,,,,,,,84200,75000,50000,48000,27000,36000,,7300,,89400,,86000,74700,,,75000,,25100,52300,,,163600,,,,,,,,
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties",0800804,0800804,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties",0801202,2010,mountain division,0,804,00804,30.188879,7.1518011,15.009788,20.892736,32.484505,69.811119,92.848198,84.990211,79.107262,67.515495,75.381012,7.9718642,16.647127,63.885265,8.996089,27.118645,32.653061,12.244898,55.102039,69.333336,2.6666667,28,63.888889,8.333334,27.777779,90.224571,2.1136065,7.6618233,80.24691,0,19.753086,,,,91.666672,0,8.333334,75,12.5,12.5,11.535787,19.588354,31.011734,10.261486,.000080921636,1.2709954,0,0,0,0,57900,44250,62000,85030,90000,102050,60000,84000,103000,158700,8.5909929,9.8004971,27.193943,12.629353,31.966501,32.875526,.00029911811,99.9991,,17.129078,,.014982387,0,,,.86632055,0,7.5499907,0,,0,0,,,0,,,0,,,71200,50800,41280,58100,32400,31000,62000,7300,,88000,,57200,90000,,,101400,146400,108000,60000,,34000,163600,,,103000,,,158700,,
Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest),0800810,0800810,Arapahoe (Northwest) & Adams (Southwest) Counties--Aurora City (Northwest),0801301,2010,mountain division,0,810,00810,13.282611,3.4686348,12.968241,37.480869,5.8159871,86.717392,96.531364,87.031761,62.519131,94.184013,77.453026,5.8455114,16.701462,65.81395,12.790698,21.39535,51.219513,1.2195121,47.560974,96.363632,0,3.6363635,31.428572,2.8571429,65.714287,90.064102,3.2051284,6.7307696,74.19355,3.2258062,22.580645,90.909096,0,9.090909,82.857147,14.285715,2.8571429,50,33.333336,16.666668,15.277712,34.172848,56.310059,23.136126,13.332486,25.022072,6.2230749,0,24.373249,0,48480,36400,20800,36800,40000,34800,42800,100000,56000,35600,3.6819775,99.704544,35.28056,29.580561,34.389133,45.755661,45.628738,0,67.57312,21.480631,,100,0,,14.585011,.018137487,99.694565,57.887512,.0095120771,,49.453728,0,,0,38.991596,0,,,0,,50400,24600,33600,45000,26000,23800,48000,60000,17000,36800,,16360,37400,,40000,55000,15400,9800,42800,,81600,100000,,48000,56000,50000,,,35600,
Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities,0800808,0800808,Arapahoe County (West)--Aurora (Southwest) & Centennial (East) Cities,0801401,2010,mountain division,0,808,00808,44.658516,8.413166,30.103487,36.00412,22.860275,55.341484,91.586838,69.896515,63.99588,77.139725,78.672035,5.5331988,15.794769,67.66169,9.2868996,23.051409,47.580643,2.4193547,50,88.461533,2.5641026,8.9743595,54.545456,9.090909,36.363636,92.248062,2.3255813,5.4263568,74.468079,4.2553191,21.276596,94.444443,0,5.5555558,92.063492,6.3492069,1.5873017,70.588234,17.647058,11.764706,4.6425781,10.566189,5.1998267,18.137634,3.0697758,3.3563561,32.193382,0,0,0,74800,42400,54000,94000,127000,100000,25000,101030,96000,84000,2.6805508,2.0476258,21.42156,9.7420874,1.0785804,14.922126,.12716964,,17.540554,16.399099,,100,0,,22.706816,2.3504415,0,16.436214,24.575256,100,7.7561474,0,,,0,0,,0,,0,80000,37200,44000,40000,55000,50800,50600,,54000,94000,,22000,127000,,19400,100000,125000,75000,348400,12000,22950,101030,,,96000,90000,,90530,,45000
