year,region,state_name,statefip,statefip_str,state_shwhite,state_shhispanic,state_shblack,state_shasian,state_shother_race,state_shpov_white,state_shpov_hispanic,state_shpov_black,state_shpov_asian,state_shpov_other_race,state_hhinc_white,state_hhinc_hispanic,state_hhinc_black,state_hhinc_asian,state_hhinc_other_race,state_shmarr_white,state_shcoh_white,state_shunpmom_white,state_shmarr_hispanic,state_shcoh_hispanic,state_shunpmom_hispanic,state_shmarr_black,state_shcoh_black,state_shunpmom_black,state_shmarr_asian,state_shcoh_asian,state_shunpmom_asian,state_shmarr_other_race,state_shcoh_other_race,state_shunpmom_other_race,state_shpov_white_marr,state_shpov_white_coh,state_shpov_white_unpmom,state_shpov_hispanic_marr,state_shpov_hispanic_coh,state_shpov_hispanic_unpmom,state_shpov_black_marr,state_shpov_black_coh,state_shpov_black_unpmom,state_shpov_asian_marr,state_shpov_asian_coh,state_shpov_asian_unpmom,state_shpov_other_marr,state_shpov_other_coh,state_shpov_other_unpmom,state_hhinc_white_marr,state_hhinc_white_coh,state_hhinc_white_unpmom,state_hhinc_hispanic_marr,state_hhinc_hispanic_coh,state_hhinc_hispanic_unpmom,state_hhinc_black_marr,state_hhinc_black_coh,state_hhinc_black_unpmom,state_hhinc_asian_marr,state_hhinc_asian_coh,state_hhinc_asian_unpmom,state_hhinc_other_marr,state_hhinc_other_coh,state_hhinc_other_unpmom
2010,south atlantic division,Georgia,georgia,13,50.553642,11.259646,33.148117,3.6893618,1.3492316,10.862673,33.715565,23.650227,10.167408,20.091438,68000,31700,36000,75000,57000,77.968559,4.5892467,17.4422,71.983421,9.5054092,18.511169,40.376221,7.1366615,52.487118,92.84774,.71597028,6.4362907,62.548096,4.8969517,32.554951,6.4370713,19.924517,28.261322,27.777672,51.676094,47.583279,8.7715302,23.072199,35.174404,8.5058193,12.437955,33.88435,15.929927,22.36586,27.744865,80000,42400,31600,35000,25000,22600,60000,38400,21900,78000,75300,42000,66000,34000,33300
2010,pacific division,Hawaii,hawaii,15,18.207176,12.07905,.92956197,49.102348,19.681862,13.53692,25.116554,14.135702,13.355762,14.809728,80000,56000,78200,89200,79000,79.254387,4.2394376,16.506176,58.205383,10.40281,31.391808,73.182556,0,26.817448,79.94342,4.0836458,15.972933,65.758705,8.2422514,25.999046,10.739931,0,30.443472,15.645859,7.0809679,48.653465,6.0154524,,36.295181,11.176572,21.400488,22.205734,7.6724486,15.274241,32.7146,81400,78000,48000,70000,42300,30000,88000,,11000,93600,64000,80000,98500,24200,37000
2010,mountain division,Idaho,idaho,16,81.06591,14.114468,.22530298,1.9296302,2.6646874,9.5342855,9.9142294,16.788002,28.171427,37.730255,56020,37300,6700,40000,31200,80.022751,3.903795,16.073456,67.121216,10.290692,22.588093,27.491892,0,72.50811,87.990097,6.4444928,5.5654092,48.939323,20.190844,30.869833,5.8528605,15.693766,26.366537,7.079742,13.431854,16.73444,0,,23.153275,22.174171,48.024582,100,9.3501892,72.35067,60.078484,64700,39000,29200,46500,23100,29400,7500,,6700,40000,70000,0,50000,34000,9700
2010,east north central div,Illinois,illinois,17,57.236706,21.614641,15.242745,4.7659101,1.1399943,8.5221119,22.253912,34.144684,11.396928,16.459175,80200,44800,31000,86000,55000,79.47744,5.2807426,15.241818,67.058846,12.011948,20.929207,28.930586,6.7015147,64.367897,91.305367,1.4267894,7.2678404,62.054581,8.7756586,29.16976,4.767591,11.414652,27.097645,19.181805,23.994953,31.097958,15.878685,33.129139,42.46019,9.6413212,13.246467,33.089401,5.8411579,16.734892,38.964569,91300,52000,33600,49000,38000,36000,64300,32400,21600,91000,60800,44500,76520,39350,24000
2010,east north central div,Indiana,indiana,18,79.314453,7.7908812,10.252072,1.5662706,1.0763257,11.651954,21.493036,26.581245,11.062813,33.107368,59200,34400,28000,79000,40000,72.125397,8.3781261,19.496479,59.010567,14.797558,26.191875,28.449917,7.108573,64.441505,87.71582,5.3436646,6.9405222,54.073418,13.773933,32.152645,5.8059411,19.134729,30.06319,14.906255,30.358383,31.324493,8.7752552,41.799633,32.763565,8.9019127,0,46.890247,21.384621,10.488213,62.512207,71000,39500,27500,39600,30500,23000,57000,25200,22000,80000,67900,25000,66300,49120,12000
2010,west north central div,Iowa,iowa,19,86.180939,6.8313332,3.4943886,1.7950422,1.6982969,7.4792786,24.611935,41.670856,4.4936037,16.434793,68000,34000,15000,58000,38000,76.896996,7.2383208,15.864685,62.085239,12.537384,25.377378,25.446474,8.7324953,65.821037,84.966331,3.1338494,11.899817,65.07579,9.3520966,25.572109,3.5697858,15.63357,22.708376,23.218649,33.987011,23.388937,14.400723,10.177526,56.391739,5.2886877,0,0,6.3577404,12.303207,43.589817,78400,45600,28800,37000,28000,28000,53500,17600,9700,59000,17800,25000,45100,62940,18000
2010,west north central div,Kansas,kansas,20,75.839073,12.954911,4.9087534,3.1802952,3.1169698,8.2434416,21.545269,35.051819,9.6178446,26.725357,68600,38000,24800,70600,48000,77.029617,6.0918798,16.878508,64.56057,7.3306375,28.108797,26.279276,8.364934,65.355789,79.89698,0,20.103016,50.265099,26.305141,23.429762,3.1121778,18.439367,27.981377,13.98098,25.198809,37.966175,0,52.298183,46.938629,2.9895318,,35.961262,12.053943,29.043514,55.598068,78600,42800,27000,40000,56300,33500,52000,12800,18000,83000,,31000,65000,34000,16960
2010,east south central div,Kentucky,kentucky,21,85.099823,3.5884163,8.7225885,1.5308591,1.058316,14.551973,30.922907,32.029812,14.024262,25.10569,55700,29000,22800,61200,22440,71.41291,7.9049015,20.682192,63.70462,6.4323864,29.862991,27.70558,10.280113,62.014305,88.623978,0,11.376026,48.007423,3.5629499,48.429626,6.8421984,24.028423,37.550846,23.040508,33.616619,47.157661,23.391207,22.265436,37.507839,10.908432,,38.297871,11.990493,0,39.953568,68500,34200,21000,32700,18000,18240,48600,42200,18800,61500,,57000,54500,36000,11600
2010,west south central div,Louisiana,louisiana,22,57.880718,4.1664343,35.113281,1.5566555,1.2829114,9.431262,14.875627,26.591623,5.9302759,15.019387,70000,49700,29000,56000,58000,75.413246,6.6256242,17.96113,70.38192,13.294408,16.323671,30.721924,9.2286806,60.049397,74.906799,16.521677,8.5715218,57.675289,4.3714747,37.953236,5.112133,17.837337,24.465063,9.2092323,32.553772,24.909595,7.4774528,14.530359,38.224274,5.8697176,0,17.890148,1.6705221,0,37.034805,81000,44900,31900,56600,40000,42000,57000,34600,18500,57000,57000,27000,71000,65700,28500
2010,new england division,Maine,maine,23,92.80584,1.3119812,2.1353483,1.8963525,1.8504769,11.106068,46.589043,64.686096,12.63627,17.815123,55160,19400,14400,106700,45000,67.112556,12.769424,20.118025,48.084969,46.380302,5.5347295,28.363228,0,71.636772,77.226036,16.546297,6.2276654,49.092247,19.960703,30.947048,5.1810865,17.115133,27.057352,14.356268,80.451843,42.857143,54.74308,,68.622849,4.2815747,56.385906,0,0,12.949109,49.214359,70000,43800,26000,52200,14260,16400,8680,,14400,110000,8290,41800,48120,52100,21150
2010,south atlantic division,Maryland,maryland,24,50.701649,10.499878,30.627192,6.2621861,1.9090983,7.2117,20.250576,22.78878,11.757093,17.228247,103000,58000,58800,100000,64820,80.078957,5.3284669,14.592574,67.909218,14.148693,17.942091,43.616043,7.3950105,48.988945,92.474213,1.0388368,6.4869533,49.355312,8.0835705,42.561115,3.7285647,15.762432,23.20364,13.672781,28.822235,38.387535,8.6390381,18.163923,36.08477,10.043428,4.838769,37.29401,2.1585021,19.14226,34.340111,114000,69000,50300,69500,42800,44000,93000,57600,35000,105000,47000,58000,114150,69000,33700
2010,new england division,Massachusetts,massachusetts,25,71.7659,12.931487,7.4545918,6.0321579,1.8158638,8.328496,27.527851,22.58316,13.470462,18.827551,98000,32400,48000,98200,52500,78.910561,4.9820886,16.107351,41.699341,11.272371,47.02829,39.8083,12.165171,48.026527,84.298904,3.885556,11.815539,60.941269,8.7955217,30.263212,4.1578956,12.508181,27.467636,14.822124,29.085823,38.420406,12.517338,12.548606,33.468296,8.113966,47.401127,40.52866,12.086517,7.9174371,35.572872,110800,60000,41400,61000,34300,17900,83500,60000,24600,113000,48000,44700,63000,89000,23000
2010,east north central div,Michigan,michigan,26,73.987511,5.4464064,15.115826,3.199868,2.2503943,12.386135,20.400848,31.729858,10.447906,20.885252,63000,36900,25900,86200,43500,76.321327,6.7136683,16.965006,65.270302,14.0561,20.673594,27.084759,8.5384007,64.376846,91.546242,2.0536282,6.4001255,63.038128,6.5754681,30.3864,6.7357411,25.84594,32.479313,17.402504,9.688982,37.15023,14.513654,38.917412,38.019798,10.342258,0,15.311529,11.61706,19.23667,40.46933,74320,38000,27000,40400,40000,21500,59000,22700,19000,88000,60000,51300,60000,28100,22400
2010,west north central div,Minnesota,minnesota,27,79.800217,5.7235913,5.861784,5.1001043,3.5143025,5.7633595,19.292376,25.476849,15.607309,29.371628,80000,39200,24300,64740,33600,79.888847,5.2216778,14.889477,66.313461,11.993688,21.692856,36.146465,10.312234,53.541302,83.46048,4.4313245,12.108194,39.150215,16.894499,43.955284,2.1363008,11.668054,23.153431,13.135513,26.601093,34.072556,15.705816,11.885637,34.69112,15.183952,11.636866,19.978554,21.751528,45.122803,30.104654,89120,50200,35000,46800,34000,28600,35000,39000,16800,70020,39500,28000,58000,22200,27500
