year,region,countyfip,puma,puma_str,pumaID,puma_name,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom
2023,south atlantic division,151,2202,02202,1302202,Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA,48.835083,44.367283,34.674282,84.977776,71.033531,51.164917,55.632717,65.325714,15.022224,28.966469,76,8,16,83.333328,8.333334,8.333334,44.444447,9.2592592,46.296295,100,0,0,25,0,75,97.5,0,2.5,50,37.5,12.5,80.952385,0,19.047619,33.333336,0,66.666672,57.14286,0,42.857143,17.517857,56.102634,33.468578,66.863907,0,4.0411601,2.3913043,11.82266,0,18.491484,9.0712738,44.801514,40.486725,63.625641,0,0,0,0,59.726471,66.863907,,,0,,0,4.108026,,0,0,0,14.745309,0,,42.883549,0,,0,67.615662,,0
2023,south atlantic division,63,2301,02301,1302301,Atlanta Regional Commission (South Central)--Clayton County (Northwest)--Forest Park PUMA,53.888584,7.2348194,21.741648,0,82.666664,46.111416,92.765182,78.258354,100,17.333336,33.333336,0,66.666672,50,4.347826,45.652176,45.098038,13.725491,41.176472,50,0,50,0,66.666672,33.333336,50,0,50,100,0,0,18.75,0,81.25,,,,0,0,100,0,47.115482,37.888428,0,0,0,0,11.637816,,0,0,,0,59.788483,0,39.868759,28.528479,68.037132,35.580029,0,,0,,0,0,0,,0,0,,,0,,13.899491,,,,,,0
2023,south atlantic division,63,2302,02302,1302302,"Atlanta Regional Commission (South Central)--Clayton County (South, East)--Jonesboro PUMA",100,7.5282307,35.469429,21.060606,100,0,92.471771,64.530571,78.939392,0,,,,48,0,52,38.666664,2.6666667,58.666664,100,0,0,,,,77.777779,0,22.222223,0,0,100,40,22.857143,37.142857,100,0,0,0,0,100,,29.118046,29.183399,17.850286,,0,0,18.55419,0,100,,,,17.450813,,34.538952,19.91427,0,35.100601,17.850286,,,,,,0,,0,,,0,4.7619047,40.1507,23.480751,0,,,,,100
2023,south atlantic division,113,2400,02400,1302400,Atlanta Regional Commission (South Central)--Fayette County PUMA,77.796814,41.835716,48.802002,68.206825,69.184288,22.203186,58.164284,51.197998,31.793175,30.815712,70.833328,16.666668,12.5,100,0,0,31.578945,10.526316,57.894737,42.857143,0,57.14286,66.666672,33.333336,0,93.61702,0,6.3829789,91.666672,0,8.333334,33.333336,0,66.666672,93.333336,0,6.666667,75,0,25,0,16.180676,33.81332,0,39.215687,0,0,0,0,0,0,0,0,16.180676,,,41.412743,0,42.617451,0,,0,0,100,,0,,0,0,,0,0,,0,0,,0,0,,0
2023,south atlantic division,77,2500,02500,1302500,Three Rivers Regional Commission (North Central)--Coweta County PUMA,55.057503,9.2637396,61.821175,14.111498,29.444445,44.942497,90.736259,38.178825,85.888504,70.555557,63.265305,19.387754,17.346939,50,25,25,60.000004,0,40,75,25,0,83.333328,16.666668,0,93.162392,2.5641026,4.2735043,100,0,0,80,0,20,100,0,0,50,33.333336,16.666668,7.6140537,37.295238,0,0,0,20.811575,0,13.753327,0,0,0,14.688347,28.138527,41.059189,0,100,0,,0,0,0,,0,0,,20.766773,0,42.175571,0,,,16.154247,,0,0,,,0,0,0
2023,south atlantic division,45,2600,02600,1302600,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,35.579399,46.78899,45.561543,,19.212963,64.420601,53.21101,54.438457,,80.787033,72.033897,9.3220339,18.644068,62.5,0,37.5,52,0,48,,,,100,0,0,92.98246,0,7.0175438,66.666672,0,33.333336,63.636364,0,36.363636,,,,50,0,50,15.289807,17.604355,11.59156,,0,2.3974669,0,56.271397,,0,15.936637,8.1714287,18.961039,0,,55.42857,0,,21.342926,,,,0,,,0,,52.131145,0,,0,72.844482,,0,,,,0,,0
2023,south atlantic division,0,2700,02700,1302700,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA",25.098148,10.394265,9.9123764,79.599274,6.7307696,74.901855,89.605736,90.087624,20.400726,93.269234,62.068962,19.54023,18.390804,40,60.000004,0,10,3.3333335,86.666664,100,0,0,84.615387,0,15.384616,95.652176,0,4.347826,100,0,0,0,12.5,87.5,100,0,0,100,0,0,10.409556,0,27.522797,0,2.8636885,0,0,0,0,0,7.3405719,30.198019,15.169194,0,0,,0,0,30.904436,0,,,0,,100,0,,0,0,,,,0,0,0,,,0,,
2023,south atlantic division,0,2800,02800,1302800,Three Rivers Regional Commission (East) PUMA,20.549738,7.7072539,9.6425791,,0,79.450264,92.292747,90.357422,,100,72.59259,6.666667,20.74074,75,25,0,34.090908,15.909091,50,,,,0,75,25,92.452827,3.7735848,3.7735848,100,0,0,100,0,0,,,,,,,30.040333,25.263157,28.305609,,40,11.35515,100,33.718246,,,13.048458,8.0242748,77.316566,0,100,,0,45.065033,39.075726,,,,,86.885246,0,1.6072863,0,100,100,,,33.718246,,,,,,,,
2023,south atlantic division,0,2900,02900,1302900,Middle Georgia Regional Commission (North & Outside Bibb County) PUMA,32.5051,19.96982,10.543799,82.653061,0,67.494904,80.030182,89.4562,17.346939,100,70.149254,11.19403,18.656715,70.588234,0,29.411766,30.612246,8.1632652,61.224491,100,0,0,33.333336,0,66.666672,89.230766,0,10.769231,100,0,0,25,0,75,100,0,0,,,,17.771563,12.319296,10.878834,0,34.698055,0,0,16.919487,0,,14.890835,26.385223,26.550167,0,,59.214504,6.3453541,0,15.537951,0,,,0,,63.721806,0,,0,0,,,0,,29.835392,0,,,,,
2023,south atlantic division,21,3000,03000,1303000,Middle Georgia Regional Commission (Central)--Bibb County--Macon City PUMA,41.469215,31.48148,18.897638,79.907082,27.879799,58.530785,68.518524,81.102364,20.092918,72.120201,76.92308,13.461539,9.6153851,0,100,0,35.135136,7.2072072,57.657658,100,0,0,40,0,60.000004,90,7.5000005,2.5,100,0,0,54.838711,6.4516125,38.709675,100,0,0,66.666672,0,33.333336,10.619919,39.18919,37.017384,61.271675,0,9.1322021,0,9.9321709,65.988373,28.742516,13.547969,0,0,,39.18919,,7.0364499,0,58.981289,61.271675,,,0,,0,2.3448277,0,100,0,,,0,0,26.015228,65.988373,,,0,,100
