year,region,czone,czname,cz_shwhite,cz_shhispanic,cz_shblack,cz_shasian,cz_shother_race,cz_shpov_white,cz_shpov_hispanic,cz_shpov_black,cz_shpov_asian,cz_shpov_other_race,cz_hhinc_white,cz_hhinc_hispanic,cz_hhinc_black,cz_hhinc_asian,cz_hhinc_other_race,cz_shmarr_white,cz_shcoh_white,cz_shunpmom_white,cz_shmarr_hispanic,cz_shcoh_hispanic,cz_shunpmom_hispanic,cz_shmarr_black,cz_shcoh_black,cz_shunpmom_black,cz_shmarr_asian,cz_shcoh_asian,cz_shunpmom_asian,cz_shmarr_other_race,cz_shcoh_other_race,cz_shunpmom_other_race,cz_shpov_white_marr,cz_shpov_white_coh,cz_shpov_white_unpmom,cz_shpov_hispanic_marr,cz_shpov_hispanic_coh,cz_shpov_hispanic_unpmom,cz_shpov_black_marr,cz_shpov_black_coh,cz_shpov_black_unpmom,cz_shpov_asian_marr,cz_shpov_asian_coh,cz_shpov_asian_unpmom,cz_shpov_other_marr,cz_shpov_other_coh,cz_shpov_other_unpmom,cz_hhinc_white_marr,cz_hhinc_white_coh,cz_hhinc_white_unpmom,cz_hhinc_hispanic_marr,cz_hhinc_hispanic_coh,cz_hhinc_hispanic_unpmom,cz_hhinc_black_marr,cz_hhinc_black_coh,cz_hhinc_black_unpmom,cz_hhinc_asian_marr,cz_hhinc_asian_coh,cz_hhinc_asian_unpmom,cz_hhinc_other_marr,cz_hhinc_other_coh,cz_hhinc_other_unpmom
2023,mountain division,26406,"Wolf Point, MT",79.134033,3.825068,.66064376,1.2040799,15.176174,6.4857678,1.8331019,65.404495,0,27.807081,105000,104050,40000,157500,64000,84.922699,5.1052856,9.9720163,92.995811,.0028586132,7.0013309,0,90.313164,9.6868353,100,0,0,42.969952,11.354162,45.675884,5.5789442,10.787516,12.00604,1.971166,,,,72.41967,,0,,,.53813702,36.975853,51.18137,110000,93000,46500,116500,,,,40000,,157500,,,90200,59610,22000
2023,mountain division,26407,"Plentywood, MT",79.134033,3.8250678,.66064376,1.2040799,15.176174,6.4857678,1.8331019,65.404495,0,27.807081,105000,104050,40000,157500,64000,84.922699,5.1052852,9.9720163,92.995811,.0028586132,7.0013313,,,,,,,42.969952,11.354162,45.675884,5.5789442,10.787516,12.00604,1.9711663,,,,,,,,,.53813702,36.975853,51.18137,110000,93000,46500,116500,,,,,,,,,90200,59610,22000
2023,mountain division,26408,"Glasgow, MT",79.134033,3.8250678,.66064376,1.2040799,15.176174,6.4857678,1.8331019,65.404495,0,27.807081,105000,104050,40000,157500,64000,84.922699,5.1052856,9.9720163,92.995811,.0028586132,7.0013313,0,90.313164,9.6868343,100,0,0,42.969952,11.354162,45.675884,5.5789442,10.787516,12.006041,1.9711663,,,,72.41967,,0,,,.53813702,36.975853,51.18137,110000,93000,46500,116500,,,,40000,,157500,,,90200,59610,22000
2023,mountain division,26409,"Glendive, MT",79.070534,4.5934005,.51840913,1.123023,14.694633,6.8251739,1.1938623,65.187614,.020818254,25.645638,110000,104050,40000,157500,65000,85.50119,4.8236451,9.6751699,81.876396,3.2584231,14.865178,.33160526,90.01368,9.6547127,97.872635,0,2.1273677,46.598591,10.35295,43.048458,5.5231495,9.2516136,17.121664,1.4581275,,0,,72.41967,,.020019541,,,.6985808,32.754841,50.940304,115000,96230,44000,116500,,24000,,40000,,157500,,,90200,59610,39000
2023,west north central div,26410,"Dickinson, ND",78.842613,7.3511591,.0078892997,.83208746,12.966247,8.0478983,0,0,.12894616,16.565367,127000,100000,72000,49000,83700,87.585213,3.8090222,8.6057663,61.109467,9.3386087,29.551926,,,,86.823296,0,13.176701,61.84259,6.1468306,32.010578,5.3282576,1.8354388,38.476761,0,0,0,,,,.13977942,,,1.1669145,0,49.495251,130000,105000,35400,120000,140000,24000,,,,49000,,,85000,175000,40800
2023,mountain division,26411,"Sidney, ND",79.82708,5.9547591,.27203768,.91785669,13.028261,6.5473375,.43090037,56.863297,.32293409,20.95118,120000,100000,40000,79000,80000,86.209106,4.6336093,9.1572847,73.52935,5.9473023,20.523348,13.059044,78.519127,8.4218264,88.304344,0,11.695662,55.221485,8.0393171,36.739197,4.7313914,5.1632085,24.343513,.586025,0,0,,72.41967,,.34419367,,,.84201002,21.777906,50.995708,127000,105000,38000,104050,140000,24000,,40000,,68000,,,90200,107600,40800
2023,west north central div,26412,"Williston, ND",79.0634,7.3175325,.015530383,.82019585,12.78334,7.8082585,.0019090052,0,.20040245,16.488091,127000,100000,72000,49000,83700,87.476006,3.9013534,8.6226454,62.147926,9.0845814,28.76749,,,,85.501869,0,14.498131,62.161972,6.0754766,31.762552,5.1574011,1.7834952,37.42691,.0030717119,0,0,,,,.22059645,,,1.1394646,0,49.680443,130000,105000,35400,120000,140000,24000,,,,49000,,,93800,175000,40800
2023,west north central div,26501,"Brookings, SD",82.649658,5.7118559,.39647934,4.0767398,7.1652641,3.8859422,12.38629,100,88.269379,11.711387,107000,34900,24300,11350,50000,74.490013,12.649738,12.860248,71.587997,6.4130983,21.998903,,,,76.101532,6.0675621,17.830902,27.420124,30.83707,41.742805,3.2098551,2.0021741,9.6549559,8.1391449,,29.818022,,,,100,,68.240204,.54715711,27.964872,7.037878,117800,77700,43000,42000,,23200,,,,11350,,11350,50000,63400,30000
2023,west north central div,26502,"Madison, SD",82.649658,5.7118559,.39647934,4.0767398,7.1652641,3.8859422,12.38629,100,88.269379,11.711387,107000,34900,24300,11350,50000,74.490013,12.649738,12.860248,71.587997,6.4130983,21.998901,,,,76.101532,6.0675626,17.830902,27.420122,30.83707,41.742809,3.2098551,2.0021741,9.6549559,8.1391449,,29.818022,,,,100,,68.240204,.54715711,27.964872,7.037878,117800,77700,43000,42000,,23200,,,,11350,,11350,50000,63400,30000
2023,west north central div,26503,"Sioux Falls, SD",74.802086,8.7195225,7.7553086,2.8373039,5.8857799,9.6370497,.15820445,26.335403,2.4729204,44.38612,121700,58400,74000,90000,20700,81.449173,8.1949196,10.355906,57.417267,24.890734,17.691998,73.664597,0,26.335403,56.279106,.16998646,43.550907,30.941069,33.537994,35.520935,5.9072928,.06658233,46.544956,.12961462,0,.47356594,0,,100,3.788317,,.78273809,45.835972,89.851074,.196318,135000,67000,49500,79830,58400,64800,74000,,24300,93200,,65000,85600,4500,17000
